"parameter_id","cluster"
"IMPC_ACS_034_001",2
"M.G.P_009_001_003",2
"CCP_LDT_007_001",5
"CCP_LDT_008_001",2
"ESLIM_020_001_004",3
"IMPC_CSD_061_001",1
"JAX_ROT_002_001",4
"IMPC_XRY_019_001",1
"IMPC_HEM_027_001",5
"IMPC_GRS_009_001",3
"M.G.P_025_001_002",4
"IMPC_ACS_036_001",3
"JAX_SLW_013_001",6
"IMPC_CSD_038_001",6
"MGP_CSD_068_001",5
"IMPC_DXA_008_001",6
"IMPC_ECH_013_001",5
"JAX_OFD_013_001",6
"CCP_LDT_004_001",1
"M.G.P_012_001_005",1
"IMPC_HEM_001_001",1
"IMPC_EYE_088_001",6
"IMPC_CBC_024_001",2
"IMPC_HEM_032_001",5
"IMPC_XRY_015_001",1
"IMPC_CBC_005_001",5
"IMPC_XRY_016_001",3
"CCP_XRY_020_001",5
"IMPC_CBC_002_001",4
"IMPC_CBC_020_001",2
"IMPC_CBC_016_001",6
"JAX_OFD_050_001",6
"IMPC_IMM_032_002",1
"JAX_OFD_007_001",6
"IMPC_HEM_030_001",3
"JAX_HBD_001_001",5
"IMPC_XRY_012_001",5
"CCP_LFO_001_001",5
"IMPC_EYE_063_001",6
"IMPC_IPG_012_001",6
"IMPC_OFD_013_001",1
"IMPC_ECG_006_001",2
"UCD_OWT_029_001",4
"IMPC_IPG_011_001",5
"IMPC_CSD_037_001",1
"HRWL_OWT_001_001",1
"JAX_OFD_020_001",5
"ESLIM_008_001_007",1
"JAX_PLC_001_001",3
"ESLIM_011_001_005",3
"IMPC_ECH_012_001",4
"IMPC_XRY_060_001",2
"IMPC_EYE_003_001",4
"ESLIM_011_001_004",6
"IMPC_CSD_023_001",6
"ESLIM_011_001_003",5
"IMPC_CBC_025_001",5
"ESLIM_008_001_016",3
"IMPC_CSD_079_001",3
"IMPC_GEL_011_001",6
"IMPC_CSD_013_001",5
"ESLIM_008_001_002",5
"JAX_LDT_004_001",2
"IMPC_GEL_027_001",4
"IMPC_EYE_061_001",2
"KMPCLA_GRS_011_001",4
"JAX_LDT_002_001",4
"ESLIM_015_001_004",6
"IMPC_ECG_028_001",5
"ESLIM_015_001_011",1
"JAX_LDT_008_001",3
"IMPC_ECG_014_001",2
"IMPC_GEP_005_002",3
"IMPC_ECG_003_001",5
"ESLIM_006_001_030",5
"IMPC_GEP_017_001",5
"IMPC_GEO_015_001",5
"IMPC_EYE_056_001",3
"KMPCLA_GRS_010_001",6
"M.G.P_026_001_003",6
"IMPC_GEP_022_001",2
"M.G.P_016_001_006",4
"IMPC_GEM_007_001",3
"ESLIM_008_001_022",6
"JAX_LDT_009_001",2
"IMPC_CAL_017_001",4
"IMPC_GEP_034_001",2
"IMPC_GEO_017_002",5
"UCDLA_EYE_083_001",6
"M.G.P_025_001_001",2
"IMPC_GEM_069_001",2
"IMPC_ECH_018_001",1
"ESLIM_015_001_002",1
"IMPC_GEL_058_001",5
"M.G.P_016_001_002",6
"ESLIM_008_001_012",1
"HMGULA_DYS_014_001",3
"IMPC_GEM_025_002",6
"JAX_OFD_017_001",3
"M.G.P_005_001_003",1
"JAX_OFD_010_001",4
"IMPC_ECG_010_001",4
"ESLIM_016_001_007",5
"IMPC_GEM_029_001",2
"IMPC_EYE_062_001",2
"IMPC_GEO_064_001",2
"ESLIM_011_001_002",4
"IMPC_GEO_043_002",1
"IMPC_GEO_063_001",1
"HMGULA_DYS_016_001",3
"JAX_PLC_004_001",1
"ESLIM_016_001_004",5
"IMPC_GEM_070_001",3
"IMPC_GEM_068_001",6
"UCDLA_HEM_002_001",6
"IMPC_GPO_002_001",5
"IMPC_GEP_083_001",1
"M.G.P_026_001_010",5
"IMPC_GEL_060_001",3
"IMPC_GEP_030_002",5
"IMPC_GEO_019_001",5
"IMPC_GEM_075_001",2
"IMPC_GEP_011_002",2
"IMPC_GEO_065_001",1
"IMPC_GEP_026_001",2
"ESLIM_011_001_001",4
"IMPC_EYE_069_001",5
"M.G.P_025_001_005",4
"IMPC_GEM_019_001",3
"UCDLA_CSD_011_001",5
"ESLIM_013_001_004",5
"UCDLA_CSD_012_001",2
"UCDIP_CSD_014_001",6
"IMPC_GEL_063_001",1
"ESLIM_016_001_005",4
