"parameter_id","group_id"
"IMPC_PAT_036_001",5
"IMPC_PAT_065_001",1
"IMPC_PAT_066_001",1
"IMPC_PAT_069_001",2
"IMPC_PAT_074_001",2
"IMPC_PAT_075_001",1
"IMPC_ECG_009_001",4
"IMPC_ECG_011_001",4
"IMPC_MAA_004_001",4
"IMPC_MAA_005_001",4
"IMPC_GEM_019_001",1
"IMPC_GEM_032_001",1
"IMPC_GEM_036_001",2
"IMPC_GEM_041_001",5
"IMPC_GEM_048_001",3
"IMPC_GEM_049_001",3
"IMPC_GEM_059_001",4
"IMPC_GEM_065_001",4
"IMPC_GEM_066_001",4
"IMPC_GEM_068_001",2
"IMPC_GEM_069_001",2
"IMPC_GEM_070_001",2
"IMPC_GEM_073_001",4
"IMPC_GEM_079_001",2
"IMPC_CAL_001_001",1
"IMPC_CAL_002_001",1
"IMPC_CAL_005_001",4
"IMPC_CAL_019_001",4
"IMPC_ECH_001_001",4
"IMPC_ECH_002_001",4
"IMPC_ECH_003_001",1
"IMPC_ECH_003_001",4
"IMPC_ECH_004_001",4
"IMPC_ECH_006_001",4
"IMPC_ECH_013_001",4
"IMPC_ECH_015_001",4
"IMPC_ECH_016_001",4
"IMPC_ECH_018_001",4
"IMPC_ECH_024_001",4
"IMPC_ECH_025_001",3
"IMPC_CBC_004_001",4
"IMPC_CBC_024_001",4
"IMPC_CBC_026_001",1
"IMPC_CBC_036_001",4
"IMPC_CBC_037_001",4
"IMPC_CBC_045_001",4
"IMPC_CBC_046_001",4
"IMPC_CBC_049_001",4
"IMPC_CBC_050_001",4
"IMPC_CBC_039_001",4
"IMPC_CBC_041_001",4
"IMPC_CBC_051_001",4
"IMPC_IPG_001_001",1
"IMPC_IPG_002_001",4
"IMPC_IPG_009_001",4
"IMPC_IPG_010_001",4
"IMPC_IPG_011_001",2
"IMPC_IPG_012_001",1
"IMPC_IPG_012_001",2
"IMPC_INS_008_001",4
"IMPC_INS_009_001",4
"IMPC_INS_010_001",4
"IMPC_INS_012_001",4
"IMPC_INS_018_001",4
"IMPC_INS_020_001",4
"IMPC_INS_021_001",4
"IMPC_INS_022_001",4
"IMPC_ABR_001_001",1
"IMPC_ABR_002_001",4
"IMPC_ABR_003_001",3
"IMPC_ABR_004_001",4
"IMPC_ABR_005_001",3
"IMPC_ABR_006_001",4
"IMPC_ABR_007_001",3
"IMPC_ABR_008_001",4
"IMPC_ABR_009_001",3
"IMPC_ABR_010_001",4
"IMPC_ABR_011_001",3
"IMPC_ABR_012_001",4
"IMPC_ABR_013_001",3
"IMPC_ABR_014_001",3
"IMPC_ABR_015_001",3
"IMPC_ABR_016_001",5
"IMPC_ABR_017_001",3
"IMPC_ABR_018_001",3
"IMPC_ABR_019_001",3
"IMPC_ABR_036_001",1
"IMPC_ABR_039_001",4
"IMPC_ABR_054_001",4
"IMPC_CHL_001_001",1
"IMPC_CHL_003_001",1
"IMPC_CHL_004_001",1
"IMPC_CHL_013_001",4
"IMPC_CHL_022_001",4
"IMPC_CHL_029_001",1
"IMPC_EYE_001_001",5
"IMPC_EYE_002_001",5
"IMPC_EYE_003_001",4
"IMPC_EYE_003_001",5
"IMPC_EYE_004_001",5
"IMPC_EYE_005_001",5
"IMPC_EYE_006_001",5
"IMPC_EYE_007_001",5
"IMPC_EYE_008_001",5
"IMPC_EYE_009_001",4
"IMPC_EYE_009_001",5
"IMPC_EYE_010_001",5
"IMPC_EYE_011_001",5
"IMPC_EYE_012_001",5
"IMPC_EYE_013_001",5
"IMPC_EYE_014_001",2
"IMPC_EYE_014_001",5
"IMPC_EYE_015_001",5
"IMPC_EYE_016_001",5
"IMPC_EYE_017_001",5
"IMPC_EYE_018_001",5
"IMPC_EYE_023_001",5
"IMPC_EYE_024_001",4
"IMPC_EYE_024_001",5
"IMPC_EYE_025_001",4
"IMPC_EYE_025_001",5
"IMPC_EYE_026_001",4
"IMPC_EYE_026_001",5
"IMPC_EYE_027_001",4
"IMPC_EYE_037_001",5
"IMPC_EYE_038_001",5
"IMPC_EYE_039_001",5
"IMPC_EYE_040_001",5
"IMPC_EYE_041_001",5
"IMPC_EYE_042_001",5
"IMPC_EYE_046_001",4
"IMPC_EYE_047_001",4
"IMPC_EYE_048_001",4
"IMPC_EYE_048_001",5
"IMPC_EYE_049_001",4
"IMPC_EYE_050_001",3
"IMPC_EYE_051_001",3
"IMPC_EYE_052_001",5
"IMPC_EYE_053_001",5
"IMPC_EYE_054_001",1
"IMPC_EYE_054_001",5
"IMPC_EYE_055_001",1
"IMPC_EYE_055_001",5
"IMPC_EYE_056_001",1
"IMPC_EYE_056_001",5
"IMPC_EYE_057_001",1
"IMPC_EYE_057_001",5
"IMPC_EYE_058_001",1
"IMPC_EYE_058_001",5
"IMPC_EYE_059_001",1
"IMPC_EYE_059_001",5
"IMPC_EYE_060_001",5
"IMPC_EYE_062_001",5
"IMPC_EYE_063_001",5
"IMPC_EYE_064_001",5
"IMPC_EYE_066_001",5
"IMPC_EYE_068_001",5
"IMPC_EYE_069_001",5
"IMPC_EYE_070_001",5
"IMPC_EYE_072_001",3
"IMPC_EYE_072_001",5
"IMPC_EYE_073_001",3
"IMPC_EYE_073_001",5
"IMPC_EYE_076_001",3
"IMPC_EYE_076_001",5
"IMPC_EYE_077_001",3
"IMPC_EYE_077_001",5
"IMPC_EYE_078_001",5
"IMPC_EYE_079_001",5
"IMPC_EYE_080_001",5
"IMPC_EYE_081_001",5
"IMPC_EYE_082_001",5
"IMPC_EYE_083_001",5
"IMPC_EYE_084_001",5
"IMPC_EYE_085_001",5
"IMPC_EYE_087_001",5
"IMPC_EYE_088_001",5
"IMPC_EYE_089_001",5
"IMPC_EYE_090_001",5
"IMPC_EYE_091_001",5
"IMPC_EYE_092_001",5
"IMPC_CSD_002_001",1
"IMPC_CSD_005_001",5
"IMPC_CSD_006_001",5
"IMPC_CSD_007_001",5
"IMPC_CSD_008_001",5
"IMPC_CSD_009_001",5
"IMPC_CSD_010_001",5
"IMPC_CSD_019_001",1
"IMPC_CSD_022_001",1
"IMPC_CSD_025_001",1
"IMPC_CSD_028_001",1
"IMPC_CSD_036_001",2
"IMPC_CSD_046_001",1
"IMPC_CSD_047_001",1
"IMPC_CSD_056_001",5
"IMPC_CSD_057_001",5
"IMPC_CSD_058_001",5
"IMPC_CSD_059_001",5
"IMPC_CSD_060_001",5
"IMPC_CSD_061_001",5
"IMPC_CSD_072_001",1
"IMPC_CSD_085_001",3
"IMPC_CSD_086_001",1
"IMPC_CSD_040_002",1
"IMPC_CSD_041_002",1
"IMPC_CSD_053_002",1
"IMPC_CSD_052_002",1
"IMPC_EXD_133_001",1
"IMPC_EXD_014_001",4
"IMPC_EXD_098_002",4
"IMPC_EXD_127_001",4
"IMPC_EXD_129_001",4
"IMPC_EXD_130_001",4
"IMPC_EXD_131_001",4
"IMPC_EXD_015_001",4
"IMPC_HEM_001_001",4
"IMPC_HEM_002_001",4
"IMPC_HEM_005_001",1
"IMPC_HEM_012_001",4
"IMPC_HEM_013_001",4
"IMPC_HEM_020_001",4
"IMPC_HEM_021_001",4
"IMPC_HEM_024_001",4
"IMPC_HEM_025_001",4
"IMPC_HEM_026_001",4
"IMPC_HEM_015_001",4
"IMPC_HEM_017_001",4
"IMPC_HEM_019_001",1
"IMPC_HEM_027_001",4
"IMPC_EXD_001_001",1
"IMPC_EXD_016_001",1
"IMPC_EXD_025_001",3
"IMPC_EXD_036_001",1
"IMPC_EXD_036_001",4
"IMPC_EXD_040_001",4
"IMPC_EXD_047_001",1
"IMPC_EXD_048_001",1
"IMPC_EXD_048_001",4
"IMPC_EXD_061_001",4
"IMPC_EXD_069_001",1
"IMPC_EXD_079_001",3
"IMPC_EXD_087_001",1
"IMPC_EXD_087_001",4
"IMPC_EXD_090_001",4
"IMPC_EXD_099_001",1
"IMPC_EXD_108_001",3
"IMPC_EXD_115_001",1
"IMPC_EXD_115_001",4
"IMPC_EXD_119_001",4
"IMPC_DXA_001_001",1
"IMPC_DXA_002_001",1
"IMPC_DXA_003_001",1
"IMPC_DXA_004_001",1
"IMPC_DXA_005_001",1
"IMPC_DXA_006_001",1
"IMPC_DXA_007_001",1
"IMPC_DXA_008_001",1
"IMPC_DXA_009_001",1
"IMPC_DXA_010_001",1
"IMPC_DXA_017_001",4
"IMPC_OWT_001_001",1
"IMPC_OWT_002_001",1
"IMPC_OWT_003_001",1
"IMPC_OWT_004_001",1
"IMPC_OWT_005_001",1
"IMPC_OWT_007_001",1
"IMPC_OWT_008_001",1
"IMPC_OWT_009_001",1
"IMPC_OWT_010_001",1
"IMPC_OWT_012_001",1
"IMPC_OWT_013_001",1
"IMPC_OWT_018_001",4
"IMPC_OWT_021_001",1
"IMPC_OWT_022_001",1
"IMPC_OWT_023_001",1
"IMPC_OWT_024_001",1
"IMPC_OWT_024_001",2
"IMPC_OWT_025_001",1
"IMPC_OWT_026_001",1
"IMPC_OWT_027_001",1
"IMPC_OWT_028_001",1
"IMPC_OWT_029_001",1
"IMPC_OWT_029_001",2
"IMPC_OWT_030_001",1
"IMPC_OWT_031_001",1
"IMPC_XRY_002_001",1
"IMPC_XRY_032_001",3
"IMPC_XRY_033_001",1
"IMPC_XRY_034_001",3
"IMPC_XRY_041_001",3
"IMPC_XRY_044_001",3
"IMPC_XRY_045_001",3
"IMPC_XRY_046_001",3
"IMPC_XRY_047_001",4
"IMPC_XRY_048_001",3
"IMPC_XRY_049_001",3
"IMPC_XRY_050_001",3
"IMPC_XRY_051_001",3
"IMPC_XRY_052_001",3
"IMPC_XRY_053_001",3
"IMPC_XRY_053_001",4
"IMPC_GPL_004_001",1
"IMPC_GPL_006_001",3
"IMPC_GPL_007_001",3
"IMPC_GPL_017_001",4
"IMPC_HIS_001_001",2
"IMPC_HIS_002_001",2
"IMPC_HIS_003_001",2
"IMPC_HIS_004_001",2
"IMPC_HIS_005_001",2
"IMPC_HIS_006_001",2
"IMPC_HIS_007_001",2
"IMPC_HIS_007_001",5
"IMPC_HIS_008_001",5
"IMPC_HIS_009_001",2
"IMPC_HIS_009_001",5
"IMPC_HIS_010_001",5
"IMPC_HIS_011_001",5
"IMPC_HIS_012_001",5
"IMPC_HIS_013_001",2
"IMPC_HIS_014_001",2
"IMPC_HIS_015_001",2
"IMPC_HIS_016_001",2
"IMPC_HIS_017_001",2
