"parameter_id","group_id"
"IMPC_GRS_001_001",NA
"IMPC_GRS_002_001",NA
"IMPC_GRS_003_001",NA
"IMPC_GRS_004_001",NA
"IMPC_GRS_005_001",NA
"IMPC_GRS_006_001",NA
"IMPC_GRS_007_001",NA
"IMPC_GRS_008_001",NA
"IMPC_GRS_009_001",NA
"IMPC_GRS_010_001",NA
"IMPC_GRS_011_001",NA
"IMPC_GRS_012_001",NA
"IMPC_GRS_013_001",NA
"IMPC_GRS_014_001",NA
"IMPC_ALZ_001_001",NA
"IMPC_ALZ_002_001",NA
"IMPC_ALZ_003_001",NA
"IMPC_ALZ_004_001",NA
"IMPC_ALZ_005_001",NA
"IMPC_ALZ_006_001",NA
"IMPC_ALZ_007_001",NA
"IMPC_ALZ_008_001",NA
"IMPC_ALZ_009_001",NA
"IMPC_ALZ_010_001",NA
"IMPC_ALZ_011_001",NA
"IMPC_ALZ_012_001",NA
"IMPC_ALZ_013_001",NA
"IMPC_ALZ_014_001",NA
"IMPC_ALZ_015_001",NA
"IMPC_ALZ_016_001",NA
"IMPC_ALZ_017_001",NA
"IMPC_ALZ_018_001",NA
"IMPC_ALZ_019_001",NA
"IMPC_ALZ_020_001",NA
"IMPC_ALZ_021_001",NA
"IMPC_ALZ_022_001",NA
"IMPC_ALZ_023_001",NA
"IMPC_ALZ_024_001",NA
"IMPC_ALZ_025_001",NA
"IMPC_ALZ_026_001",NA
"IMPC_ALZ_027_001",NA
"IMPC_ALZ_028_001",NA
"IMPC_ALZ_029_001",NA
"IMPC_ALZ_030_001",NA
"IMPC_ALZ_031_001",NA
"IMPC_ALZ_032_001",NA
"IMPC_ALZ_033_001",NA
"IMPC_ALZ_034_001",NA
"IMPC_ALZ_035_001",NA
"IMPC_ALZ_036_001",NA
"IMPC_ALZ_037_001",NA
"IMPC_ALZ_038_001",NA
"IMPC_ALZ_039_001",NA
"IMPC_ALZ_040_001",NA
"IMPC_ALZ_041_001",NA
"IMPC_ALZ_042_001",NA
"IMPC_ALZ_043_001",NA
"IMPC_ALZ_044_001",NA
"IMPC_ALZ_045_001",NA
"IMPC_ALZ_046_001",NA
"IMPC_ALZ_047_001",NA
"IMPC_ALZ_048_001",NA
"IMPC_ALZ_049_001",NA
"IMPC_ALZ_050_001",NA
"IMPC_ALZ_051_001",NA
"IMPC_ALZ_052_001",NA
"IMPC_ALZ_053_001",NA
"IMPC_ALZ_054_001",NA
"IMPC_ALZ_055_001",NA
"IMPC_ALZ_056_001",NA
"IMPC_ALZ_057_001",NA
"IMPC_ALZ_058_001",NA
"IMPC_ALZ_059_001",NA
"IMPC_ALZ_060_001",NA
"IMPC_ALZ_061_001",NA
